,genes,weights,in_mask
0,Asb4,-0.92104036,True
1,Rap1gap2,0.6425101,True
2,Ap1s2,-0.4903442,True
3,Racgap1,-0.4758065,True
4,Spsb4,0.46805212,True
5,Klhl13,-0.44260773,True
6,Dnm1,0.4413512,True
7,Cdh1,-0.43701974,True
8,Nr4a1,-0.43664497,True
9,Kif22,-0.39078805,True
10,Pik3r3,0.38021,True
11,Ctsf,0.3778348,True
12,Klc3,0.34070036,True
13,Hspa5,-0.33831438,True
14,Wsb1,0.2754845,True
15,Sec61b,-0.24871862,True
16,Sh3kbp1,0.23595314,True
17,Cdkn1a,0.23104066,True
18,Dnm2,0.2278171,True
19,Rap1b,-0.17022017,True
20,Rasgrp3,0.16680185,True
21,Pik3r1,0.1363728,True
22,Kif23,-0.13383982,True
23,Kif20a,0.122775584,True
24,Pdia3,-0.119426966,True
25,Ube3c,-0.11835562,True
26,Blnk,-0.09453519,True
27,Cdc20,-0.079038896,True
28,Foxo1,0.059667654,True
29,Ubr4,-0.035459574,True
30,Rapgef4,0.020738717,True
