,genes,weights,in_mask
0,Cdc25c,2.0819612,True
1,Ccnb1,2.0671601,True
2,Aurkb,2.0094752,True
3,Aurka,1.985743,True
4,Ska1,1.9487829,True
5,Cdk1,1.9147861,True
6,Cdca8,1.8536844,True
7,Ndc80,1.845644,True
8,Bub1b,1.7995038,True
9,Ccnb2,1.7957644,True
10,Birc5,1.7261735,True
11,Mis18bp1,1.7116114,True
12,Cdc20,1.708799,True
13,Sgol1,1.7023519,True
14,Rrm2,1.5364577,True
15,Fbxo5,1.4088229,True
16,Kif20a,1.4001786,True
17,Kif23,1.3969485,True
18,Mad2l1,1.3911327,True
19,Ccnd1,1.3776149,True
20,Gmnn,1.3536942,True
21,Cenph,1.3271935,True
22,Mcm3,1.2513943,True
23,Incenp,1.2363825,True
24,Gins2,1.2205818,True
25,Cenpk,1.1929499,True
26,Lig1,1.189889,True
27,Dbf4,1.1691995,True
28,Tyms,1.097021,True
29,Spc24,1.0771466,True
30,Dhfr,1.0452001,True
31,Cdk6,1.032617,True
32,Cdt1,0.95052576,True
33,Ccne2,0.9033431,True
34,Mcm6,0.8964774,True
35,Prim1,0.8507526,True
36,Mcm4,0.80644053,True
37,Ccnd2,0.7427277,True
38,Rfc4,0.7236095,True
39,Spc25,0.72121257,True
40,Fen1,0.6905168,True
41,Rpa2,0.67936957,True
42,E2f1,0.6638545,True
43,Mcm7,0.63284755,True
44,Lmnb1,0.6055838,True
45,Pmf1,0.599763,True
46,Bub3,0.4442724,True
47,Cdkn1a,0.40870595,True
48,Lmna,-0.4049348,True
49,Syne1,0.39375424,True
50,Rfc3,0.32921183,True
51,Sun2,0.1150226,True
52,Pola1,0.012722565,True
