,genes,weights,in_mask
0,Ghrl,-0.8538841,True
1,Igf2,-0.70944303,True
2,Rab27a,0.625988,True
3,Atf3,-0.615035,True
4,Igfbp5,-0.51035815,True
5,Herpud1,0.41801938,True
6,Lmna,-0.4100013,True
7,Cpe,0.3768906,True
8,Pappa2,0.37132415,True
9,Wfs1,0.36057317,True
10,Wipi1,0.35046855,True
11,Gcg,-0.33597007,True
12,Snap25,0.31578904,True
13,Hsp90b1,0.3096345,True
14,Pdia5,0.29770303,True
15,Pcsk1,0.2933935,True
16,Pdia6,0.27127704,True
17,Pcsk2,0.25359696,True
18,Hspa5,0.2447673,True
19,Mboat4,-0.21294573,True
20,Sec11c,0.12131583,True
