,genes,weights,in_mask
0,Sst,1.8859559,True
1,Ppy,1.7104807,True
2,Gip,1.68074,True
3,P2ry1,1.6570116,True
4,Ghrl,1.5910618,True
5,Pde1a,1.5499468,True
6,Gast,1.5312185,True
7,Gcg,1.4779837,True
8,Crhr2,1.4743811,True
9,Npy,1.4120709,True
10,Ptger3,1.0834315,True
11,Pde10a,1.0139949,True
12,Iapp,1.010955,True
13,Pyy,0.89255023,True
14,Rgs7,0.8485846,True
15,Chrm3,0.7999016,True
16,Gnaz,0.4791338,True
17,Gng12,0.46988058,True
18,Galr1,0.4406035,True
19,Gipr,0.43821406,True
20,Cxcl12,0.41271538,True
21,Sct,0.40638205,True
22,Gng4,0.38608918,True
23,Gabbr2,0.38580856,True
24,Cck,0.22917232,True
25,Rgs17,0.19097166,True
26,Fgd2,-0.17635256,True
27,Gnas,0.16784915,True
28,Pik3r3,0.16750552,True
29,Pik3r1,-0.13570859,True
30,Gnai1,0.1279109,True
31,Hebp1,-0.090149894,True
32,Pde3b,0.06449108,True
33,Plcb4,-0.06185489,True
34,Rock1,-0.05314198,True
35,Prkca,-0.049609736,True
36,Prex1,0.032636818,True
