,genes,weights,in_mask
0,Crhr2,0.7259404,True
1,Gip,0.7092628,True
2,P2ry1,0.69768894,True
3,Sst,0.5199397,True
4,Npy,0.41681862,True
5,Gng12,0.3617391,True
6,Pyy,0.35283837,True
7,Iapp,0.34509555,True
8,Ppy,0.30888918,True
9,Ptch1,-0.26431975,True
10,Cx3cl1,0.25642946,True
11,Galr1,0.21707503,True
12,Ghrl,0.20735316,True
13,Gcg,0.19853514,True
14,Chrm3,0.18580121,True
15,Sct,0.15849473,True
16,Gabbr2,0.12206787,True
17,Ptger3,0.10539934,True
18,Hebp1,-0.09720104,True
19,Cxcl12,-0.09255983,True
20,Gng4,0.07200055,True
21,Gnas,0.06359603,True
22,Gast,-0.059372358,True
23,Wnt7b,-0.016700897,True
24,Gipr,0.0026782784,True
25,Cck,-0.0006955753,True
