,genes,weights,in_mask
0,Ghrl,-1.7591354,True
1,Cxcl12,-1.6708881,True
2,Gast,-1.5270505,True
3,Gcg,-1.4067411,True
4,Wnt7b,-1.3809007,True
5,Gip,-1.3778762,True
6,Npy,-1.2770778,True
7,Hebp1,-1.1272559,True
8,Sst,-0.90271723,True
9,P2ry1,-0.8331546,True
10,Pde1a,-0.62913716,True
11,Rock1,0.6199932,True
12,Gipr,0.61436087,True
13,Iapp,-0.5816461,True
14,Chrm3,-0.49444762,True
15,Pde3b,0.44792315,True
16,Galr1,0.43908066,True
17,Ppp3ca,0.4239427,True
18,Gnaz,0.38838252,True
19,Fgd2,0.38388973,True
20,Rgs17,0.36197448,True
21,Pde10a,0.347172,True
22,Prkca,0.3458902,True
23,Gnao1,0.3422161,True
24,Ppy,-0.32671946,True
25,Rgs7,0.31988975,True
26,Pik3r1,0.3117472,True
27,Pyy,-0.31164375,True
28,Gabbr2,-0.30858675,True
29,Prkar1b,0.2682393,True
30,Plcb4,0.24832174,True
31,Cx3cl1,-0.24515447,True
32,Pik3r3,0.2210161,True
33,Gnas,0.19892383,True
34,Gnai1,0.15903969,True
35,Gng4,0.14644097,True
36,Crhr2,-0.14557199,True
37,Gng12,-0.1399679,True
38,Ptch1,-0.091749735,True
39,Cdk1,-0.08524365,True
40,Rps6ka2,-0.081739865,True
41,Sct,-0.063398466,True
42,Prex1,0.0512008,True
43,Cck,0.023851495,True
44,Ptger3,0.015014066,True
